episode,timestep,reward,coverage_pct,ep_steps
797,1251170,4.674,99.53,1716
798,1252122,290.057,100.00,952
799,1253116,281.816,100.00,994
800,1254195,259.816,100.00,1079
801,1255899,5.915,99.77,1704
802,1256701,345.858,100.00,802
803,1258409,2.035,99.06,1708
804,1259375,297.277,100.00,966
805,1261091,-0.525,98.60,1716
806,1262799,3.335,99.30,1708
807,1264051,204.455,100.00,1252
808,1264941,326.797,100.00,890
809,1265791,334.398,100.00,850
810,1266586,351.998,100.00,795
811,1267595,291.317,100.00,1009
812,1268489,322.918,100.00,894
813,1269970,136.373,100.00,1481
814,1270859,331.018,100.00,889
815,1271757,320.337,100.00,898
816,1273020,204.835,100.00,1263
817,1274058,270.336,100.00,1038
818,1274897,334.018,100.00,839
819,1275648,355.679,100.00,751
820,1277372,3.415,99.30,1724
821,1278234,324.057,100.00,862
822,1279176,307.557,100.00,942
823,1280340,246.914,100.00,1164
824,1281329,296.417,100.00,989
825,1283033,-1.885,98.36,1704
826,1283936,329.138,100.00,903
827,1284960,280.017,100.00,1024
828,1286696,6.075,99.77,1736
829,1288412,5.973,99.77,1716
830,1289289,329.658,100.00,877
831,1291001,5.954,99.77,1712
832,1291808,352.059,100.00,807
833,1292692,331.318,100.00,884
