episode,timestep,reward,coverage_pct,ep_steps
674,397096,224.413,100.00,417
675,397505,224.973,100.00,409
676,397849,229.523,100.00,344
677,398255,225.183,100.00,406
678,398745,219.303,100.00,490
679,399170,223.853,100.00,425
680,399485,231.553,100.00,315
681,399811,230.783,100.00,326
682,400151,229.803,100.00,340
683,400477,230.783,100.00,326
684,400863,226.583,100.00,386
685,401221,228.543,100.00,358
686,401592,227.633,100.00,371
687,401992,225.603,100.00,400
688,402365,227.493,100.00,373
689,402736,227.633,100.00,371
690,403109,227.493,100.00,373
691,403507,225.743,100.00,398
692,404008,218.533,100.00,501
693,404337,230.573,100.00,329
694,404721,226.723,100.00,384
695,405044,230.993,100.00,323
696,405498,221.823,100.00,454
697,405876,227.143,100.00,378
698,406258,226.863,100.00,382
699,406592,230.223,100.00,334
700,406958,227.983,100.00,366
701,407379,224.133,100.00,421
702,407769,226.303,100.00,390
703,408177,225.043,100.00,408
704,408610,223.293,100.00,433
705,408986,227.283,100.00,376
706,409308,231.063,100.00,322
707,409735,223.713,100.00,427
708,410190,221.753,100.00,455
709,410536,229.383,100.00,346
710,410934,225.743,100.00,398
711,411300,227.983,100.00,366
712,411692,226.163,100.00,392
713,412081,226.373,100.00,389
714,412446,228.053,100.00,365
715,412831,226.653,100.00,385
716,413164,230.293,100.00,333
717,413490,230.783,100.00,326
718,413898,225.043,100.00,408
719,414251,228.893,100.00,353
720,414610,228.473,100.00,359
721,414937,230.713,100.00,327
722,415304,227.913,100.00,367
723,415681,227.213,100.00,377
724,416076,225.953,100.00,395
725,416489,224.693,100.00,413
726,416955,220.983,100.00,466
727,417284,230.573,100.00,329
728,417695,224.833,100.00,411
729,418093,225.743,100.00,398
730,418564,220.633,100.00,471
731,418964,225.603,100.00,400
732,419478,217.623,100.00,514
733,419835,228.613,100.00,357
734,420210,227.353,100.00,375
735,420573,228.193,100.00,363
736,420929,228.683,100.00,356
737,421298,227.773,100.00,369
738,421645,229.313,100.00,347
739,422066,224.133,100.00,421
740,422574,218.043,100.00,508
